id,grade,treatment,score
224,fourth,garden,37.5902031
225,fourth,garden,70.99200227
226,fourth,garden,54.87297466
227,fourth,garden,49.93384445
228,fourth,garden,46.02091787
229,fourth,garden,59.69019294
230,fourth,garden,51.93790366
231,fourth,garden,58.94419622
232,fourth,garden,28.21198821
233,fourth,garden,66.55878846
234,fourth,garden,60.95915606
235,fourth,garden,42.21194131
236,fourth,garden,40.71682662
237,fourth,garden,42.08972895
238,fourth,garden,50.74764338
239,fourth,garden,48.23876315
240,fourth,garden,49.49187201
241,fourth,garden,54.849758
242,fourth,garden,65.24707249
243,fourth,garden,34.58988646
244,fourth,garden,97.36519142
245,fourth,garden,72.50142987
246,fourth,garden,63.72259745
247,fourth,garden,32.46504782
248,fourth,garden,49.13509657
249,fourth,garden,51.38264273
250,fourth,garden,40.03279039
251,fourth,garden,27.41217099
252,fourth,garden,80.13525049
253,fourth,garden,79.28109625
254,fourth,garden,71.71547354
255,fourth,garden,55.75915036
256,fourth,garden,48.37319711
257,fourth,garden,38.45043967
258,fourth,garden,64.32883619
259,fourth,garden,53.58740182
260,fourth,garden,28.46997869
261,fourth,garden,37.30195288
262,fourth,garden,61.25125264
263,fourth,garden,58.68235476
264,fourth,garden,43.85003366
265,fourth,garden,96.38400262
266,fourth,garden,30.68499679
267,fourth,garden,30.56390281
268,fourth,garden,43.2937343
269,fourth,garden,49.50690674
270,fourth,garden,51.54027058
271,fourth,garden,47.8753723
272,fourth,garden,63.41689466
273,fourth,garden,67.73190856
274,fourth,garden,64.21226784
275,fourth,garden,51.08082833
276,fourth,garden,64.2673562
277,fourth,garden,44.10887108
278,fourth,garden,36.68027143
279,fourth,garden,53.1496278
280,fourth,garden,40.46521299
281,fourth,garden,38.11080887
282,fourth,garden,36.997946
283,fourth,garden,68.50280527
284,fourth,garden,45.99860702
285,fourth,garden,37.6942445
286,fourth,garden,20.92054457
287,fourth,garden,44.94957822
288,fourth,garden,47.34742809
289,fourth,garden,33.36003418
290,fourth,garden,46.69211679
291,fourth,garden,72.98258873
292,fourth,garden,72.23623138
293,fourth,garden,48.00797526
294,fourth,garden,72.43008685
295,fourth,garden,61.60323645
296,fourth,garden,43.71726329
297,fourth,garden,53.82819955
298,fourth,garden,26.60112671
299,fourth,garden,69.10546599
300,fourth,garden,39.88499986
301,fourth,garden,66.96423769
302,fourth,garden,42.58252989
303,fourth,garden,53.57221635
304,fourth,garden,74.02795469
305,fourth,garden,55.13002702
306,fourth,garden,70.99979351
307,fourth,garden,26.0333774
308,fourth,garden,91.71029074
309,fourth,garden,53.65514599
310,fourth,garden,68.24822775
311,fourth,garden,73.36250381
312,fourth,garden,47.81062542
313,fourth,garden,38.84100529
314,fourth,garden,26.78155731
315,fourth,garden,53.50259433
316,fourth,garden,32.49851181
317,fourth,garden,64.61397928
318,fourth,garden,39.91254193
319,fourth,garden,37.2929095
320,fourth,garden,57.10569429
321,fourth,garden,51.1071804
322,fourth,garden,59.89559789
323,fourth,garden,25.03709498
324,fourth,garden,45.93577975
325,fourth,garden,36.24902862
326,fourth,garden,59.82263998
327,fourth,garden,53.32664397
328,fourth,garden,81.59280396
329,fourth,garden,49.55429208
330,fourth,garden,56.99019369
331,fourth,garden,72.68846492
332,fourth,garden,69.37275261
333,fourth,garden,29.29707827
334,fourth,garden,53.19277695
335,fourth,garden,51.06044691
336,fourth,garden,48.85165158
337,fourth,garden,36.62322953
338,fourth,garden,58.111175
339,fourth,garden,34.46445823
340,fourth,garden,54.27189921
341,fourth,garden,44.16940098
342,fourth,garden,82.5784106
343,fourth,garden,53.12153589
344,fourth,garden,52.29339072
345,fourth,garden,33.55288042
346,fourth,garden,45.66714075
347,fourth,garden,25.54149757
348,fourth,garden,19.90421503
349,fourth,garden,41.51614224
350,fourth,garden,56.99020873
351,fourth,garden,48.15664492
352,fourth,garden,48.5495264
353,fourth,garden,58.30659993
354,fourth,garden,59.63015085
355,fourth,garden,56.72248689
356,fourth,garden,48.05240063
357,fourth,garden,34.80586687
358,fourth,garden,83.66332986
359,fourth,garden,35.76501789
360,fourth,garden,73.15982434
361,fourth,garden,48.58121076
362,fourth,garden,77.55336536
363,fourth,garden,55.96269453
364,fourth,garden,57.48983893
365,fourth,garden,53.6620958
366,fourth,control,70.61186155
367,fourth,control,44.0166241
368,fourth,control,72.67021229
369,fourth,control,57.44801458
370,fourth,control,55.87225535
371,fourth,control,25.32203991
372,fourth,control,49.52681636
373,fourth,control,46.80532781
374,fourth,control,59.79781298
375,fourth,control,50.95336885
376,fourth,control,39.57909201
377,fourth,control,40.9417434
378,fourth,control,66.51220954
379,fourth,control,75.6391507
380,fourth,control,54.93801538
381,fourth,control,42.45849183
382,fourth,control,77.63019571
383,fourth,control,66.38184977
384,fourth,control,61.66678257
385,fourth,control,41.82631525
386,fourth,control,42.14463662
387,fourth,control,43.98035072
388,fourth,control,42.72013139
389,fourth,control,65.68780928
390,fourth,control,36.73021542
391,fourth,control,44.86129509
392,fourth,control,55.20686982
393,fourth,control,42.06912448
394,fourth,control,48.69959192
395,fourth,control,66.10097018
396,fourth,control,57.95080735
397,fourth,control,65.22595132
398,fourth,control,50.43352627
399,fourth,control,46.57076689
400,fourth,control,68.69281829
401,fourth,control,48.34364566
402,fourth,control,57.59991162
403,fourth,control,52.33815818
404,fourth,control,62.58800389
405,fourth,control,77.92148365
406,fourth,control,47.32669597
407,fourth,control,30.88906361
408,fourth,control,56.82511849
409,fourth,control,41.47378953
410,fourth,control,38.71451142
411,fourth,control,37.79026571
412,fourth,control,49.59643099
413,fourth,control,52.06625332
414,fourth,control,38.12324618
415,fourth,control,58.58632281
416,fourth,control,20.93242096
417,fourth,control,60.2244228
418,fourth,control,65.83210716
419,fifth,garden,85.22849367
420,fifth,garden,48.53578401
421,fifth,garden,43.29493997
422,fifth,garden,53.23816822
423,fifth,garden,78.24173207
424,fifth,garden,106.1694633
425,fifth,garden,27.42962483
426,fifth,garden,75.21868827
427,fifth,garden,80.33035125
428,fifth,garden,69.13497616
429,fifth,garden,72.27813139
430,fifth,garden,63.55415966
431,fifth,garden,30.84190606
432,fifth,garden,100.2720606
433,fifth,garden,54.31861088
434,fifth,garden,63.60362173
435,fifth,garden,50.16517873
436,fifth,garden,82.79897697
437,fifth,garden,95.82098245
438,fifth,garden,93.84203217
439,fifth,garden,65.18929537
440,fifth,garden,18.52987534
441,fifth,garden,39.33909423
442,fifth,garden,89.52048715
443,fifth,garden,70.99758371
444,fifth,garden,67.39517658
445,fifth,garden,66.31965988
446,fifth,garden,39.42688301
447,fifth,garden,39.77000231
448,fifth,garden,52.63191415
449,fifth,garden,84.04432897
450,fifth,garden,90.41923245
451,fifth,garden,99.15830342
452,fifth,garden,61.90692597
453,fifth,garden,92.51699473
454,fifth,garden,56.28239142
455,fifth,garden,43.20898864
456,fifth,garden,122.8655704
457,fifth,garden,48.1964319
458,fifth,garden,55.68478673
459,fifth,garden,86.86875289
460,fifth,garden,41.06866164
461,fifth,garden,58.2345066
462,fifth,garden,79.87866592
463,fifth,garden,39.70851505
464,fifth,garden,-23.68492975
465,fifth,garden,66.9198905
466,fifth,garden,46.96107019
467,fifth,garden,75.62228652
468,fifth,garden,51.31490098
469,fifth,garden,65.87280955
470,fifth,garden,67.29431651
471,fifth,garden,36.28726328
472,fifth,garden,51.55989295
473,fifth,garden,47.92726576
474,fifth,garden,62.80855383
475,fifth,garden,60.36440976
476,fifth,garden,54.51816785
477,fifth,garden,53.7281921
478,fifth,garden,44.3995097
479,fifth,garden,74.97382289
480,fifth,garden,94.59953925
481,fifth,garden,21.44493676
482,fifth,garden,29.67681667
483,fifth,garden,113.9149211
484,fifth,garden,80.76042803
485,fifth,garden,39.05149276
486,fifth,garden,57.96120778
487,fifth,garden,83.35515802
488,fifth,garden,30.50314552
489,fifth,garden,68.43869799
490,fifth,garden,91.65602365
491,fifth,garden,77.53531509
492,fifth,garden,32.27944989
493,fifth,garden,32.29368806
494,fifth,garden,63.38813506
495,fifth,garden,69.92078856
496,fifth,garden,17.67672069
497,fifth,garden,46.78010685
498,fifth,garden,60.75391777
499,fifth,garden,33.32803489
500,fifth,garden,43.87507492
501,fifth,garden,73.45151282
502,fifth,garden,57.41520836
503,fifth,garden,84.83421475
504,fifth,garden,28.04479436
505,fifth,garden,105.4635722
506,fifth,garden,41.2958848
507,fifth,garden,78.25947398
508,fifth,garden,80.20195445
509,fifth,garden,106.5760684
510,fifth,garden,36.27319724
511,fifth,garden,49.30855083
512,fifth,garden,73.67068621
513,fifth,garden,81.2532239
514,fifth,garden,97.56296651
515,fifth,garden,54.90148372
516,fifth,garden,18.23370259
517,fifth,garden,60.74536579
518,fifth,garden,46.30893862
519,fifth,garden,91.11955554
520,fifth,garden,53.34062974
521,fifth,garden,52.313076
522,fifth,garden,75.83814644
523,fifth,garden,48.20375154
524,fifth,garden,97.39826683
525,fifth,garden,36.15683001
526,fifth,garden,56.77439505
527,fifth,garden,71.48303577
528,fifth,garden,37.19999905
529,fifth,garden,51.23920057
530,fifth,garden,49.25749404
531,fifth,garden,12.97284213
532,fifth,garden,56.15266593
533,fifth,garden,70.28080732
534,fifth,garden,33.62128256
535,fifth,garden,38.48762022
536,fifth,garden,35.8529833
537,fifth,garden,75.95908414
538,fifth,garden,97.07523817
539,fifth,garden,37.22381765
540,fifth,garden,49.55759318
541,fifth,garden,83.03956492
542,fifth,garden,45.87906814
543,fifth,garden,44.16801287
544,fifth,garden,19.76249992
545,fifth,garden,59.05919671
546,fifth,garden,25.57901896
547,fifth,garden,65.61437576
548,fifth,garden,63.54453506
549,fifth,garden,98.59805152
550,fifth,garden,70.74669724
551,fifth,garden,33.52460302
552,fifth,garden,61.32260902
553,fifth,garden,-6.892272178
554,fifth,garden,86.99322414
555,fifth,garden,50.58764602
556,fifth,garden,52.50833348
557,fifth,garden,81.21742683
558,fifth,garden,51.96507831
559,fifth,garden,84.08722415
560,fifth,garden,83.93676738
561,fifth,garden,16.11945306
562,fifth,garden,78.13363016
563,fifth,garden,49.3755911
564,fifth,garden,84.25620847
565,fifth,garden,106.180665
566,fifth,garden,52.2066289
567,fifth,garden,56.12980534
568,fifth,garden,20.60234974
569,fifth,garden,49.77134307
570,fifth,garden,61.06027337
571,fifth,garden,65.41815675
572,fifth,garden,12.92999476
573,fifth,garden,48.8526821
574,fifth,garden,74.10883232
575,fifth,garden,33.82360204
576,fifth,garden,55.63059183
577,fifth,garden,43.6568872
578,fifth,garden,37.56861797
579,fifth,garden,80.7554096
580,fifth,garden,117.0606875
581,fifth,garden,63.7115961
582,fifth,garden,44.99987793
583,fifth,garden,19.21997722
584,fifth,garden,84.13576501
585,fifth,control,38.0484985
586,fifth,control,76.20493044
587,fifth,control,65.28378768
588,fifth,control,55.01413825
589,fifth,control,49.15550621
590,fifth,control,52.06132681
591,fifth,control,42.81182097
592,fifth,control,36.80530791
593,fifth,control,33.14603674
594,fifth,control,46.91178242
595,fifth,control,29.52145838
596,fifth,control,55.2182745
597,fifth,control,49.21617184
598,fifth,control,29.35082721
599,fifth,control,34.44603826
600,fifth,control,41.29826119
601,fifth,control,51.52054371
602,fifth,control,39.34640858
603,fifth,control,18.99541487
604,fifth,control,29.6749773
605,fifth,control,60.64002025
606,fifth,control,74.07447193
607,fifth,control,50.33353769
608,fifth,control,51.28800379
609,fifth,control,32.54899418
610,fifth,control,41.39559738
611,fifth,control,58.6515354
612,fifth,control,44.70770687
613,fifth,control,40.7125857
614,fifth,control,58.90316555
615,fifth,control,20.41678919
616,fifth,control,41.82583811
617,fifth,control,47.14429536
618,fifth,control,20.53045314
619,fifth,control,15.429345
620,fifth,control,38.6067752
621,fifth,control,58.96490987
622,fifth,control,42.367567
623,fifth,control,59.91439229
624,fifth,control,41.41946867
625,fifth,control,37.44394608
626,fifth,control,85.51833119
627,fifth,control,33.92165715
628,fifth,control,55.519107
629,fifth,control,44.41474317
630,fifth,control,49.95403298
631,fifth,control,54.74163765
632,fifth,control,57.9618447
633,fifth,control,49.51795041
634,fifth,control,50.73870952
635,fifth,control,46.65377525
636,fifth,control,52.20642537
637,fifth,control,55.27820681
638,fifth,control,56.17622601
639,fifth,control,55.46162704
640,fifth,control,37.39995933
641,fifth,control,47.49297534
642,fifth,control,13.59626884
643,fifth,control,60.61399135
644,fifth,control,41.2222835
645,fifth,control,43.08288018
646,fifth,control,25.0866659
647,fifth,control,59.26543033
